# NGSL headwords — 빈도 구간(band) 순서로 정렬됨
# 출처: Browne, Culligan & Phillips (NGSL, CC BY) / 기계가독 변환본 CC0
# 형식: word,band  (배치 스크립트는 첫 컬럼만 읽는다)
impossible,2000
revenue,2000
enable,2000
afraid,2000
active,2000
conclude,2000
religious,2000
cancer,2000
convince,2000
vary,2000
environmental,2000
sun,2000
healthy,2000
blow,2000
volume,2000
location,2000
invest,2000
proceed,2000
wash,2000
actor,2000
glad,2000
tape,2000
whereas,2000
opposite,2000
stone,2000
sum,2000
murder,2000
monitor,2000
soldier,2000
finance,2000
hate,2000
egg,2000
concert,2000
shock,2000
comfortable,2000
usual,2000
carefully,2000
pack,2000
recall,2000
wine,2000
camera,2000
swim,2000
manufacture,2000
theater,2000
cycle,2000
coffee,2000
totally,2000
museum,2000
visitor,2000
freedom,2000
construction,2000
dear,2000
objective,2000
moreover,2000
onto,2000
historical,2000
oppose,2000
branch,2000
vehicle,2000
scientist,2000
route,2000
bind,2000
belong,2000
taste,2000
tonight,2000
fashion,2000
danger,2000
bomb,2000
army,2000
dangerous,2000
decrease,2000
hurt,2000
council,2000
editor,2000
normally,2000
sight,2000
generate,2000
gift,2000
delivery,2000
deny,2000
guest,2000
anybody,2000
bedroom,2000
quote,2000
climb,2000
basically,2000
violence,2000
minister,2000
mainly,2000
mouth,2000
noise,2000
manner,2000
gun,2000
square,2000
occasion,2000
familiar,2000
ignore,2000
destroy,2000
affair,2000
civil,2000
locate,2000
citizen,2000
temperature,2000
gold,2000
domestic,2000
load,2000
belief,2000
troop,2000
technical,2000
remind,2000
arrangement,2000
skin,2000
prison,2000
switch,2000
acquire,2000
corporate,2000
fairly,2000
wood,2000
participate,2000
tough,2000
tear,2000
representative,2000
capacity,2000
border,2000
shake,2000
assessment,2000
shoe,2000
ought,2000
ad,2000
fee,2000
hall,2000
regulation,2000
escape,2000
studio,2000
proper,2000
relax,2000
tourist,2000
component,2000
afford,2000
lawyer,2000
suspect,2000
cup,2000
description,2000
confidence,2000
industrial,2000
complain,2000
perspective,2000
error,2000
arrest,2000
assess,2000
register,2000
asset,2000
signal,2000
finger,2000
relevant,2000
explore,2000
leadership,2000
commitment,2000
wake,2000
necessarily,2000
bright,2000
frame,2000
slowly,2000
bond,2000
hire,2000
hole,2000
tie,2000
internal,2000
chain,2000
literature,2000
victim,2000
threaten,2000
division,2000
secure,2000
amaze,2000
device,2000
birth,2000
forest,2000
label,2000
root,2000
factory,2000
expense,2000
channel,2000
investigate,2000
recommendation,2000
rank,2000
typical,2000
west,2000
friendly,2000
resident,2000
provision,2000
concentrate,2000
plenty,2000
export,2000
entirely,2000
strongly,2000
bridge,2000
consist,2000
graduate,2000
brand,2000
moral,2000
insist,2000
combination,2000
abuse,2000
ice,2000
principal,2000
master,2000
definitely,2000
session,2000
grade,2000
nevertheless,2000
predict,2000
previously,2000
protection,2000
largely,2000
wed,2000
rent,2000
shot,2000
appearance,2000
reasonable,2000
guarantee,2000
till,2000
theme,2000
judgment,2000
odd,2000
approve,2000
loan,2000
definition,2000
elect,2000
atmosphere,2000
farmer,2000
comparison,2000
characteristic,2000
license,2000
rely,2000
narrow,2000
succeed,2000
identity,2000
desk,2000
permit,2000
seriously,2000
wild,2000
empty,2000
commission,2000
unique,2000
association,2000
instrument,2000
investor,2000
practical,2000
tea,2000
lovely,2000
soft,2000
row,2000
youth,2000
lock,2000
fuel,2000
expectation,2000
employment,2000
celebrate,2000
sexual,2000
shoulder,2000
breath,2000
increasingly,2000
import,2000
bottle,2000
ourselves,2000
sheet,2000
engine,2000
cast,2000
notion,2000
conservative,2000
journey,2000
opposition,2000
relief,2000
debt,2000
honor,2000
outcome,2000
blame,2000
explanation,2000
arise,2000
musical,2000
recover,2000
dad,2000
stretch,2000
declare,2000
retire,2000
tiny,2000
careful,2000
suitable,2000
native,2000
fruit,2000
analyze,2000
witness,2000
mail,2000
terrible,2000
researcher,2000
ordinary,2000
selection,2000
anywhere,2000
mental,2000
participant,2000
vision,2000
personality,2000
specifically,2000
fat,2000
entry,2000
fellow,2000
chemical,2000
capture,2000
tip,2000
discount,2000
peak,2000
chairman,2000
proportion,2000
ear,2000
disappear,2000
shout,2000
yard,2000
constant,2000
significantly,2000
hill,2000
considerable,2000
instruction,2000
intelligence,2000
ideal,2000
folk,2000
surely,2000
guard,2000
cat,2000
somewhat,2000
kiss,2000
presentation,2000
joint,2000
compete,2000
poll,2000
weak,2000
faith,2000
reduction,2000
reserve,2000
complaint,2000
bore,2000
mission,2000
somehow,2000
tone,2000
neighborhood,2000
passenger,2000
justice,2000
phase,2000
thin,2000
rush,2000
formal,2000
religion,2000
employer,2000
reject,2000
latter,2000
plate,2000
ban,2000
steal,2000
protest,2000
index,2000
sad,2000
frequently,2000
circle,2000
helpful,2000
command,2000
attractive,2000
sick,2000
impression,2000
unable,2000
joke,2000
sky,2000
column,2000
electronic,2000
impose,2000
criminal,2000
besides,2000
properly,2000
ancient,2000
coast,2000
ill,2000
kick,2000
closely,2000
multiple,2000
yield,2000
via,2000
legislation,2000
county,2000
unlike,2000
mobile,2000
assistant,2000
implement,2000
chart,2000
attach,2000
hell,2000
everywhere,2000
advise,2000
household,2000
acknowledge,2000
reward,2000
east,2000
hat,2000
academic,2000
voter,2000
meanwhile,2000
furthermore,2000
accuse,2000
scientific,2000
wage,2000
absence,2000
construct,2000
remark,2000
medicine,2000
professor,2000
rare,2000
intention,2000
dozen,2000
settlement,2000
gap,2000
widely,2000
minimum,2000
northern,2000
estate,2000
equally,2000
expose,2000
alive,2000
shut,2000
victory,2000
resolve,2000
critic,2000
variable,2000
enormous,2000
sweet,2000
permanent,2000
emotion,2000
pursue,2000
tall,2000
urge,2000
enemy,2000
appoint,2000
milk,2000
talent,2000
smell,2000
prior,2000
priority,2000
online,2000
phrase,2000
pilot,2000
stable,2000
merely,2000
resolution,2000
communicate,2000
injury,2000
vast,2000
exhibition,2000
producer,2000
regional,2000
immediate,2000
incident,2000
childhood,2000
draft,2000
slip,2000
accompany,2000
politician,2000
angry,2000
knock,2000
seed,2000
salary,2000
illustrate,2000
imply,2000
breakfast,2000
temporary,2000
liberal,2000
lake,2000
qualify,2000
competitive,2000
truly,2000
hi,2000
yellow,2000
habit,2000
disk,2000
core,2000
emotional,2000
aircraft,2000
self,2000
metal,2000
existence,2000
bone,2000
panel,2000
prime,2000
appointment,2000
emphasize,2000
maximum,2000
effectively,2000
elsewhere,2000
bother,2000
initiative,2000
sharp,2000
diet,2000
motion,2000
gray,2000
plastic,2000
complicate,2000
discipline,2000
disappoint,2000
boss,2000
