# BSL (Business Service List) headwords — 빈도 순위(rank) 순서
# 출처: Browne, C., Culligan, B. (2016). The Business Service List.
#       Retrieved from www.newgeneralservicelist.com  (CC BY-SA 4.0)
# 형식: word,rank  (배치 스크립트는 첫 컬럼만 읽는다)
#
# 1,700개로 일반 비즈니스 영어의 97% 를 덮는다. 토익이 비즈니스 영어 시험이라
# TSL 과 함께 쓴다. NAWL(학술 960)은 논문·강의 영어라 토익과 다른 물건이어서 뺐다.
#
# **원본은 cp1252 다.** UTF-8 로 읽으면 악센트 글자가 깨진다.
#
# 트랙은 TSL 과 같다 — 토익 화면은 둘을 한 목록으로 보여 준다.
# track: toeic
#
# 순위는 TSL 1,250 뒤에서 시작한다. 두 목록 다 1위부터 매겨진 **다른 코퍼스의**
# 순위라 그냥 합치면 토익 트랙에 1위가 둘 생기고 정렬이 뒤엉킨다. 이어 붙인 뒤의
# 번호는 "BSL 이 TSL 보다 덜 쓰인다"는 뜻이 아니라 **화면에 낼 순서**다 — 토익
# 화면에서는 시험 어휘(TSL)가 먼저 나오는 것이 맞다.
# rank-offset: 1250
coordinate,490
nationalist,491
willingness,492
tempt,493
simultaneously,494
broadly,495
demographic,496
prominent,497
prospective,498
conglomerate,499
contrary,500
sustainable,501
stimulus,502
actively,503
credibility,504
simulation,505
senator,506
adoption,507
flaw,508
standardize,509
outlook,510
consolidation,511
opt,512
sensible,513
headline,514
exemption,515
deploy,516
macroeconomic,517
concession,518
rumor,519
contingent,520
diverse,521
occupation,522
privately,523
guerrilla,524
pharmaceutical,525
administer,526
automate,527
repurchase,528
denote,529
inequality,530
plunge,531
intensive,532
nonetheless,533
fax,534
overview,535
correctly,536
horizontal,537
legally,538
installment,539
empirical,540
revive,541
engagement,542
inevitable,543
array,544
ballot,545
treasury,546
intermediary,547
reproduce,548
boast,549
militant,550
discourage,551
hierarchy,552
shortly,553
fate,554
widen,555
realistic,556
terminal,557
transformation,558
qualitative,559
deadline,560
gang,561
tag,562
automatic,563
oblige,564
curb,565
outlet,566
robust,567
brokerage,568
verify,569
accurately,570
tolerance,571
devise,572
speculation,573
inspector,574
incremental,575
fighter,576
subsidize,577
grip,578
mathematical,579
assert,580
underwrite,581
differentiate,582
correlate,583
compel,584
destination,585
agriculture,586
transmission,587
multiplier,588
slowdown,589
adverse,590
suspicion,591
virtue,592
flee,593
bureaucracy,594
threshold,595
timely,596
wholesale,597
legitimate,598
privacy,599
behavioral,600
tangible,601
dump,602
documentation,603
poorly,604
unemployed,605
discharge,606
explicit,607
breakdown,608
span,609
bail,610
incumbent,611
influential,612
appreciation,613
outflow,614
albeit,615
tricky,616
spokesman,617
correction,618
contingency,619
formally,620
recipient,621
subtract,622
surrender,623
judicial,624
certainty,625
mainstream,626
administrator,627
logical,628
rebuild,629
corrupt,630
integrity,631
proposition,632
litigation,633
amid,634
generic,635
bold,636
questionnaire,637
shipment,638
straightforward,639
handful,640
loyal,641
layout,642
unchanged,643
queue,644
bidder,645
respective,646
deliverable,647
textbook,648
depict,649
odds,650
subscriber,651
lifetime,652
allegation,653
redemption,654
downward,655
grid,656
newsletter,657
meaningful,658
depreciate,659
interface,660
digit,661
convenient,662
jet,663
hybrid,664
foster,665
provoke,666
inevitably,667
shopper,668
dilemma,669
invention,670
info,671
calendar,672
secular,673
cease,674
distress,675
withhold,676
sterling,677
legacy,678
thrive,679
autonomy,680
commander,681
toll,682
accountability,683
incorporation,684
equip,685
batch,686
essence,687
prescription,688
convenience,689
termination,690
invasion,691
bondholder,692
unveil,693
intrinsic,694
continent,695
translation,696
computation,697
diplomatic,698
advisory,699
battery,700
modification,701
convey,702
customize,703
ingredient,704
formerly,705
optimization,706
ton,707
recycle,708
spectrum,709
tuple,710
magnitude,711
theft,712
quit,713
validity,714
interact,715
gallon,716
considerably,717
intervene,718
repertoire,719
halt,720
niche,721
shed,722
motive,723
whereby,724
median,725
wholly,726
supposedly,727
crude,728
commissioner,729
sufficiently,730
protocol,731
constrain,732
installation,733
publicity,734
blank,735
embed,736
legislature,737
steer,738
beneficial,739
punish,740
predictable,741
liquidation,742
chaos,743
tailor,744
impairment,745
harvest,746
insert,747
residential,748
electrical,749
fluctuate,750
migrant,751
objection,752
macroeconomics,753
accommodate,754
preliminary,755
refund,756
