# TSL (TOEIC Service List) headwords — 빈도 순위(rank) 순서로 정렬됨
# 출처: Browne, C., Culligan, B. (2013). The TOEIC Service List.
#       Retrieved from www.newgeneralservicelist.com  (CC BY-SA 4.0)
# 형식: word,rank  (배치 스크립트는 첫 컬럼만 읽는다 — ngsl.csv 와 같은 모양)
#
# NGSL 2,800 과 합치면 토익 시험 어휘의 98.5% 를 덮는다. NGSL 과 같은 팀·같은
# 라이선스라 저작권 문제가 없다 — Oxford 3000·Cambridge EVP 는 못 쓰고 시판 교재
# 재배포(Anki 덱)는 CLAUDE.md §9 위반이라, 쓸 수 있는 목록으로는 사실상 유일하다.
#
# **원본은 cp1252 다.** UTF-8 로 읽으면 résumé 가 깨진다. 여기 저장한 것은 UTF-8 이다.
#
# 배치가 받지 못하는 표제어가 4개 있다 — `ice cream`(띄어쓰기), `résumé`·`café`·
# `entrée`(악센트). 이 프로젝트의 표제어는 한 낱말이고 빈칸 채점이 낱말 단위라
# 그대로 둔다. 조용히 사라지지는 않는다: load_wordlist 가 건너뛴 것을 말해 준다.
#
# 아래 한 줄이 이 목록의 트랙이다. 트랙은 행을 만들 때 정해지고 나중에 바뀌지 않으므로
# (crud.upsert_word), 실행할 때 고르는 플래그가 아니라 목록 자체에 적어 둔다.
# 이걸 지우면 TOEIC 어휘가 왕초보 트랙으로 쏟아진다.
# track: toeic
descriptive,673
detach,674
documentation,675
entrepreneur,676
exceptional,677
familiarize,678
hotline,679
intonation,680
invention,681
irritate,682
locker,683
overlook,684
patent,685
payable,686
preliminary,687
salesman,688
sauna,689
smoothly,690
sunshine,691
tow,692
translator,693
tuition,694
unavailable,695
violation,696
webpage,697
acceptance,698
allocate,699
ambitious,700
appendix,701
booth,702
clarify,703
classmate,704
compile,705
correction,706
customize,707
dedication,708
diagnose,709
discontinue,710
dishwasher,711
drought,712
economize,713
entrée,714
firework,715
freight,716
fry,717
gallon,718
gardener,719
ideally,720
inclusive,721
insufficient,722
introductory,723
junk,724
ma'am,725
mileage,726
noisy,727
pan,728
parcel,729
pasta,730
periodical,731
pill,732
portable,733
punctual,734
recreation,735
relieve,736
reminder,737
rumor,738
scarf,739
seaside,740
shorten,741
specially,742
spill,743
spouse,744
subtract,745
tablet,746
ton,747
vend,748
yoga,749
accent,750
advisory,751
asleep,752
authentic,753
bakery,754
carton,755
compartment,756
compatible,757
consumption,758
conveniently,759
cosmetic,760
courtesy,761
creativity,762
disagreement,763
disappointment,764
dissatisfy,765
enjoyable,766
faculty,767
favorable,768
foreman,769
forum,770
founder,771
fundraise,772
graphics,773
handy,774
hazardous,775
healthcare,776
humidity,777
influential,778
nationwide,779
pad,780
paraphrase,781
placement,782
postal,783
publicity,784
renter,785
repairperson,786
repeatedly,787
restroom,788
silently,789
spa,790
spreadsheet,791
stapler,792
streamline,793
substantially,794
